id,label,date,precision,kind,estimated,estimatedFrom
amc-10-12-aime-usamo,AMC 10/12 A and B,2026-11-10,month,milestone,TRUE,Described only as 'in November'
amc-10-12-aime-usamo,AIME,2027-02-10,month,milestone,TRUE,Described only as 'in February'
john-locke-institute-global-essay-prize-economics-category,Global prize deadline,2027-06-25,month-part,deadline,TRUE,Described only as 'typically late June'
marshall-society-essay-competition,Deadline,2026-08-25,month-part,deadline,TRUE,Described only as 'typically late August'
royal-economic-society-young-economist-of-the-year,Essays due,2027-06-15,month,deadline,TRUE,Described only as 'typically due in June'
diamond-challenge,Registration opens,2026-09-17,day,milestone,TRUE,2025 cycle opened Sept 17
diamond-challenge,Registration closes,2027-01-15,day,deadline,TRUE,2026 cycle closed Jan 15
diamond-challenge,Finalists named,2027-03-15,month,milestone,TRUE,Described only as 'in March'
diamond-challenge,Summit,2027-04-25,month-part,milestone,TRUE,Described only as 'late April'
blue-ocean-student-entrepreneur-competition,Deadline,2027-02-22,day,deadline,TRUE,2026 deadline was Feb 22
conrad-challenge,Innovation Stage judging,2027-02-15,month,milestone,TRUE,Described only as 'in February'
nfte-world-series-of-innovation,Challenges launch,2026-09-09,day,milestone,TRUE,"Described only as '~Sept 9', year not stated"
nfte-world-series-of-innovation,Submissions due,2026-12-12,day,deadline,TRUE,"Described only as '~Dec 12', year not stated"
jane-street-academy-of-math-and-programming,Application deadline,2027-03-11,day,deadline,TRUE,2026 application deadline was Mar 11
jane-street-academy-of-math-and-programming,Program begins,2027-06-29,day,milestone,TRUE,2026 program began Jun 29
bank-of-america-student-leaders,Applications close,2027-03-15,month-part,deadline,TRUE,Described only as 'close mid-March'
