id,name,type,category,organizer,prestigeTier,cost,commitment,eligibility,format,description,timing,payoff,notes,url,confidence,verified,effort,competitiveness,skills,prestige,clubFit,accessibility,clubStatus,clubNotes,lastVerified
ascend-berkeley-stock-pitch-competition,Ascend Berkeley Stock Pitch Competition,Competition,Investing & Portfolio Management,AlgoEd (commercial education company; Berkeley-affiliated branding),"Commercial - low admissions signal, decent practice",$45-$55 per student depending on deadline tier,15-25 hrs,"Teams of 2-5, all from the same school. Separate middle school and high school categories.",Preliminary pitch deck submission -> top 8 per category present live on Zoom to judges,"A paid pitch-deck competition with a high school track focused on stock picking toward a defined investment goal. Finalists present live to a judging panel of professors and industry experts. Legitimate as practice and feedback, but understand what you are buying: entry fees run $45-$55 per student and the organizer is a for-profit education company, not the university itself.","Priority deadline ~mid-November, regular ~early December, late ~early January","Judge feedback, certificates, live presentation practice",Skip this if budget is tight -- YIS gives you more for $25. Included here so you can recognize the category: many 'university-branded' high school competitions are run by third-party companies. Always check who actually operates the event.,https://www.algoed.co/competitions/ascend-berkeley-stock-pitch-competition,Verified Aug 2026,TRUE,5,5,6,3,7,7,not-started,,2026-08-03
regional-local-stock-pitch-competitions,"Regional / local stock pitch competitions (e.g. Wall Street South, Stevens Trading Day)",Competition,Investing & Portfolio Management,"Regional economic development boards, universities, local finance firms","Tier 3 regionally, but exceptional networking value",Usually free,20-30 hrs,Varies -- usually restricted to schools in a defined region,Live pitch competitions judged by local finance executives,"A fast-growing category worth tracking. The inaugural Wall Street South Stock Pitch Competition (Palm Beach County, Jan 2026) brought 21 high schools to pitch live to 15 finance executives including the Head of Florida for Point72, with a traveling trophy and career talks. Stevens Institute runs a Trading Day for high school sophomores and juniors using StockTrak. These events offer something national competitions cannot: direct, in-person contact with working professionals who hire.",Varies by region,"Face time with local finance professionals, internship leads, local press","ACTION ITEM: nothing like this exists in the Triangle yet as far as I found. Given Fidelity's large RTP campus, Raleigh's banking presence, and NCCEE being local, your club could credibly propose founding one. That would be a far stronger leadership story than winning any single competition.",https://pbcedu.org/wall-street-south-stock-pitch-competition-brings-regions-top-students-face-to-face-with-finance-leaders/,"Verified Aug 2026 (as a model, not a Triangle event)",TRUE,6,5,7,4,9,5,not-started,,2026-08-03
national-economics-challenge,National Economics Challenge (NEC),Competition,Economics,Council for Economic Education (CEE); NC state round run by NCCEE,Tier 1 - National flagship,Free,Sustained study across a semester,Teams of 3-4 high school students enrolled for HS credit during the academic year. Two divisions: Adam Smith (AP/IB/honors and returning competitors) and David Ricardo (first-timers with no more than one econ course).,Online state qualifying exams -> state finals -> online national semifinals -> in-person national finals,"America's premier high school economics competition, and it is genuinely hard. Content covers microeconomics, macroeconomics, international economics, and current events. The national semifinal is a 45-question multiple-choice exam; the finals add a critical thinking/case round and a rapid-fire quiz bowl where teams answer in about 20 seconds per question. The two-division structure is the key strategic feature -- David Ricardo gives beginners a real shot without facing AP veterans.","2026 cycle: state exams Jan-Mar, online semifinals Apr 20-24, national finals Atlanta May 27-29. Expect a similar 2027 calendar; NC registration through NCCEE opens in winter.","Cash prizes ($1,000 / $500 / $250 / $200 per team member plus coach), national recognition, CNBC coverage",Enter BOTH divisions if you have the members -- Ricardo is a realistic medal shot for underclassmen while Smith develops your AP Econ students. Pair with AP Macro/Micro coursework so the studying does double duty.,https://www.councilforeconed.org/programs/for-students/national-economic-challenge/,Verified Aug 2026,TRUE,7,9,9,8,8,8,not-started,,2026-08-03
nc-econchallenge,NC EconChallenge (state round of the NEC),Competition,Economics,North Carolina Council on Economic Education,Tier 2 - Gateway to Tier 1,Free,Semester of study,NC high school teams; top 8 per division (max 2 teams per school) advance to state championship,Online qualifying exam -> NC Live State Championship -> national semifinals,"North Carolina's qualifying pathway to the National Economics Challenge. Top eight scoring teams per division from the online round are invited to the live state championship. Winners advance to the national semifinals. Because it runs through NCCEE in Raleigh, this is one of the most locally accessible high-prestige competitions available to you.",Online testing window in winter/spring; watch NCCEE for 2026-27 dates,"State championship title, path to nationals",Note the 'no more than two teams per school' cap at the state championship level -- pick your strongest two rosters rather than diluting across many.,https://econchallenge.unl.edu/North%20Carolina/Schedule,Verified Aug 2026,TRUE,6,7,8,6,8,9,not-started,,2026-08-03
high-school-fed-challenge,High School Fed Challenge,Competition,Economics,"Federal Reserve System (administered by the NY Fed, with Dallas and Richmond)","Tier 2 - Federal Reserve imprimatur, genuine publication",Free,30-50 hrs over the spring,Grades 9-12 at any high school in one of the 12 Federal Reserve Districts. No prior economics coursework required. Team-based with a faculty advisor.,Research and writing competition -- teams write an economics podcast script on an annual theme,"Now in its 31st year, this is a research-and-writing competition rather than a live debate. Each year the Fed announces a theme (2025-26 was 'Economics of Music') and teams write a podcast script analyzing any topic connected to it. Reviewers select the best submissions for publication in the Journal of Future Economists. In 2026, 207 papers were submitted and 12 were selected for publication. All participating schools receive recognition in the Journal. The creative-theme format makes it unusually accessible to students who haven't taken economics.","2025-26 cycle: theme announced Sept 9, registration deadline Feb 17, papers due Mar 16, decisions May 15. Expect a similar 2026-27 calendar with a September theme announcement.","Publication in the Journal of Future Economists, certificates for all participants, Federal Reserve recognition",'Published by the Federal Reserve' is a rare and durable line for a 17-year-old. The creative theme means strong writers can beat stronger economists. Watch for the September 2026 theme announcement.,https://www.federalreserve.gov/aboutthefed/educational-tools/national-high-school-fed-challenge.htm,Verified Aug 2026,TRUE,6,7,6,7,8,9,not-started,,2026-08-03
usa-economics-and-business-olympiad-international-economics-,USA Economics and Business Olympiad (USAEBO) -> International Economics Olympiad (IEO),Competition,Economics,USAEBO (national selection) / IEO (international),"Tier 1 - International olympiad, top-tier admissions signal",Registration fee for USAEBO (modest); IEO travel covered/organized for Team USA,Months of independent study,"Individual. Under 20 as of June 30 of the Olympiad year, HS graduation date after Dec 1 of the prior year. For Team USA: US citizen, permanent resident, or full-time US middle/high school student.","Round 1 open multiple-choice exam -> Round 2 final round -> 5 students selected for Team USA -> IEO (economics/finance MCQ, open questions, and a business case presented to an international jury)","The most academically demanding option on this list and the only true international olympiad in economics. USAEBO is the sole pathway onto Team USA. At the IEO itself, contestants sit an economics and finance multiple-choice exam, answer open-ended questions, and present a business case to an international jury. In 2026 the IEO was held July 12-19 in Shenzhen, China, with 52 national teams; it was the first year the US competed in person and Team USA placed 6th. Over 74 countries have participated historically.",USAEBO registration typically opens in winter; IEO each July,"Team USA selection, international medals, elite recognition","Individual, not team, so it's a personal-glory track rather than a club activity -- but sponsor your strongest econ student into it. NAMING WARNING: several unrelated organizations use similar names ('International Economics Olympiad' at econolympiad.org, 'Economics Olympiad' at economicsolympiad.org). The official IEO is ieo-official.org and the only US pathway is usaebo.org. Verify before paying anyone.",https://www.usaebo.org/,Verified Aug 2026,TRUE,8,10,9,9,5,7,not-started,,2026-08-03
economics-olympiad-americas-challenge,Economics Olympiad (EO) Americas Challenge,Competition,Economics,Economics Olympiad / INESS (economicsolympiad.us),Tier 2/3 - Real but less established in the US,Varies; check current cycle,Independent study,High school students aged roughly 14-20 in North and South America,School Round online exam -> Intercontinental Round in person -> International Finals,"A separate international economics competition from the IEO, structured as School, Regional, National, and International rounds. The 2026 Americas Challenge ran a School Round online in late February, invited the top 100 students to an in-person Intercontinental Round at Universidad Francisco Marroquin in Guatemala City in May, and sent the top 10 to International Finals in August. Legitimate, but distinct from and less established in the US than USAEBO/IEO.",School Round late February; later rounds spring/summer,"International travel rounds, recognition","Don't confuse this with the IEO. If a student is choosing one, USAEBO/IEO carries more weight in the US. This is a reasonable second shot.",https://economicsolympiad.us/about-eo/,Verified Aug 2026,TRUE,6,7,8,5,5,7,not-started,,2026-08-03
national-personal-finance-challenge,National Personal Finance Challenge (NPFC),Competition,Personal Finance,"Council for Economic Education, with the Voya Foundation; NC round via NCCEE",Tier 1 - National flagship in personal finance,Free,Moderate -- study plus case prep,"Teams of 3-4 high school students, must have a coach affiliated with the school. Students represent the state they're enrolled in.",Online 30-question qualifying round -> state finals -> in-person national finals (case study financial plan + quiz bowl for the top 16),"The national counterpart to the Economics Challenge, focused on practical money management: earning, spending, saving, investing, credit, insurance, and risk. The national finals require teams to build a complete financial plan for a fictitious family and present it to judges, then the top 16 advance to a quiz bowl. CEE covers lodging and group meals for national finalists (transportation excluded). 38 teams reached the 2026 finals in Atlanta on June 1.","2026 cycle: state rounds through the school year, advancement notifications by Apr 28, national finals Atlanta May 31 - Jun 1. NC round ran Jan 20 - Mar 28, 2026 via NCCEE.","All-expenses-covered national finals (excl. travel), national championship title, cash prizes","Materially easier than the Economics Challenge but nearly as recognized, so the effort-to-reward ratio is excellent. North Carolina now requires a standalone personal finance course to graduate, which means your members are already studying the content. The NC state championship was hosted at Fidelity's Durham campus in 2026 -- that is a networking room worth being in.",https://www.councilforeconed.org/programs/for-students/national-personal-finance-challenge/,Verified Aug 2026,TRUE,5,7,5,6,8,9,not-started,,2026-08-03
nc-personal-finance-challenge,NC Personal Finance Challenge,Competition,Personal Finance,North Carolina Council on Economic Education,"Tier 2 - Direct path to nationals, strong local visibility",Free,Moderate,NC middle and high school students; high school teams compete toward the state championship and then nationals,"Online multiple-choice exam -> state championship (written assessment, 48-hour family case study, quiz bowl)","North Carolina's qualifier for the NPFC. The state championship has three phases: an individual timed written assessment aggregated into a team score, a detailed fictitious family scenario with 48 hours to prepare a financial plan presented to expert judges, and a quiz bowl for the top two teams per division. The 2026 championship was held at Fidelity Investments in Durham, with the State Treasurer in attendance.",2026 window was Jan 20 - Mar 28; state championship in April,"State championship, national qualification, exposure to Fidelity and state officials","Realistically your club's most winnable high-visibility state title. Contact Amber Thomas at NCCEE (acthomas@nccee.org, 919-791-1995) before the fall to get on the list early.",https://financechallenge.unl.edu/North%20Carolina/About,Verified Aug 2026,TRUE,5,6,5,5,9,10,not-started,,2026-08-03
new-nc-statewide-financial-literacy-competition,"New NC statewide financial literacy competition (announced, launching)",Competition,Personal Finance,NC Department of State Treasurer,Unknown -- ground floor,Expected free,TBA,NC high school students (details pending),TBA,"Treasurer Brad Briner announced in April 2026 that his office would launch a new statewide financial literacy competition for students, alongside a high school internship and a network of school-based financial literacy clubs built on the Finance Fridays newsletter curriculum. The department was named 2026 Government Organization of the Year by the Institute for Financial Literacy. Details were slated to be announced in fall 2026 -- meaning right now.",Announcement expected fall 2026,State-level recognition; first-mover advantage as an inaugural participant,"HIGH-PRIORITY WATCH ITEM. Being among the first schools in an inaugural statewide competition is disproportionately valuable -- less competition, more organizer attention, and a real chance at founding-participant recognition. Email the Treasurer's office now and ask to be notified.",https://www.nctreasurer.gov/,Verified announcement Aug 2026 -- program details not yet published,TRUE,4,4,4,5,9,9,not-started,,2026-08-03
knowledge-matters-virtual-business-challenge,Knowledge Matters Virtual Business Challenge (VBC),Competition,Personal Finance,"Knowledge Matters, run in partnership with DECA","Tier 3 - Solid, DECA-linked",Included with DECA participation (chapter fees apply),A few hours per round,High school DECA chapter members,"Online business simulation across eight tracks including Personal Finance, Accounting, and Entrepreneurship; two qualifying rounds then live competition at ICDC","A set of online business simulations where students run a virtual business or manage virtual personal finances, scored competitively. Eight tracks are available to DECA members. Two internet-based qualifying rounds run during the school year, with live timed sessions in the exhibit hall at DECA's International Career Development Conference. Scholarships awarded to the top three at ICDC.","2026-27: team registration opens Sept 29, 2026. Round 1: Oct 13-23, 2026. Round 2: Jan 12-22, 2027. ICDC team confirmation by Mar 5, 2027.","Scholarships, state and international recognition",Requires a DECA chapter. Low effort per round and multiple tracks means several club members can qualify. Good complement to the heavier written competitions.,https://www.knowledgematters.com/high-school/competitions/deca/,Verified Aug 2026,TRUE,4,5,4,4,8,6,not-started,,2026-08-03
deca,DECA (finance and entrepreneurship competitive events),Club / Membership,General Business,DECA Inc.,"Tier 2 - Widely recognized, ICDC placement is a real credential",Membership dues plus conference registration and travel (can be several hundred dollars per student),Sustained -- fall prep through spring conferences,"Members of a chartered high school DECA chapter (~224,000 HS members)","District -> state (association) -> International Career Development Conference (ICDC). Role-plays and case studies, prepared written events, and online simulations.","The largest business-focused competitive organization for high schoolers, with roughly 60 event options across marketing, finance, hospitality, management, entrepreneurship, and personal financial literacy. Finance-relevant events include Personal Financial Literacy, Financial Consulting, Accounting Applications, Business Finance Series, Financial Literacy Project, Financial Services Team Decision Making, and the DECA Stock Market Game. Role-play events give students 10-15 minutes to solve a case in front of a judge; prepared events require a written project plus presentation and must be started early in the fall.",Year-round. 2026-27 ICDC prepared-event submissions open in late March 2027.,"ICDC medals, scholarships, networking with 80+ corporate and university partners","If your school has a DECA chapter, your investing club should feed it -- the finance cluster events are the natural competitive outlet. If it doesn't, starting one is a legitimate club project. Budget matters: conference costs are the real barrier, so plan fundraising early.",https://www.deca.org/compete,Verified Aug 2026,TRUE,6,7,5,6,9,7,not-started,,2026-08-03
fbla,FBLA (Securities & Investments and finance events),Club / Membership,General Business,Future Business Leaders of America,"Tier 2 - Well recognized, national placement carries weight",Dues plus conference registration and travel,"Study through the year, conferences in spring/summer","Members of a chartered high school FBLA chapter, grades 9-12; dues typically due by December 1","Chapter/region -> State Leadership Conference -> National Leadership Conference. Objective tests, role plays, and presentation events.","FBLA runs 70+ competitive events. The accounting and finance cluster includes Securities & Investments (an objective test covering investment fundamentals, stocks, bonds, mutual funds, derivatives, portfolio management, risk analysis, and financial services regulation), Accounting I and II, Banking & Financial Systems (test plus role play), and Personal Finance. Placing top 10 at nationals makes you ineligible to re-enter that event, which pushes students to broaden. The NLC draws roughly 12,000-15,000 attendees.","2026-27 competitive event guidelines post in early September 2026. NLC 2027: Columbus, OH, June 23-26.","National placement, scholarships, employer and university judging exposure",Securities & Investments is the most directly relevant event to an investing club and it's a pure objective test -- which means it is highly coachable. Build a study group around it; that alone can justify weekly club meetings.,https://www.fbla.org/high-school/competitive-events/,Verified Aug 2026,TRUE,5,6,6,6,9,7,not-started,,2026-08-03
business-professionals-of-america-finance-events,Business Professionals of America (BPA) - Finance events,Club / Membership,General Business,Business Professionals of America,"Tier 3 - Less prestigious than DECA/FBLA, better odds",Dues plus conference costs; virtual events much cheaper,Moderate,Members of a chartered BPA chapter; membership deadline March 15,Regional -> State -> National Leadership Conference. Also national-only Virtual Competitions requiring no regional/state qualification.,"A third CTSO with a Workplace Skills Assessment Program organized into six areas including Finance. Smaller than DECA and FBLA, which cuts both ways -- less prestige, but meaningfully better odds of placing. Notably, BPA offers Virtual Competitions available at the national level only, open to all student members with no qualifying rounds, specifically designed for students whose schools can't fund travel.","Regionals in winter, state in early spring, NLC in May","National placement, workplace skills credentials",The virtual-only national competitions are underrated if travel budget is your constraint -- a genuine national placement without a plane ticket.,https://bpa.org/students/compete/,Verified Aug 2026,TRUE,5,5,5,4,7,6,not-started,,2026-08-03
modeling-the-future-challenge,Modeling the Future Challenge (MTFC),Competition,Quantitative & Modeling,"The Actuarial Foundation, with the Institute of Competition Sciences","Tier 2 - Highly respected, genuinely rigorous",Free,Months of project work,High school students; individual or teams of up to 5,Scenario Phase (dataset + up to 30 questions) -> Semifinalists advance to Project Phase (original actuarial research project) -> regional -> national finals,"A risk-analysis and actuarial modeling competition that is far more rigorous than most business competitions. Teams first work through a structured scenario with a provided dataset, then semifinalists conduct their own original research project modeling real-world data to analyze risks and make recommendations to a company, industry group, or government. About $60,000 in scholarship prizes. 593 students participated in 2025-26. Free training webinars and Excel training materials are provided.",Registration reopens August 2026 for the 2026-27 season,"Up to $60,000 in scholarship prizes, real research experience, actuarial career pathway","Registration is opening RIGHT NOW. This is the best option on the list for a mathematically strong member who wants to produce original research rather than analysis of someone else's prompt. Also the clearest on-ramp to actuarial science, which is an underrated finance career.",https://www.mtfchallenge.org/,Verified Aug 2026,TRUE,9,7,9,7,6,9,not-started,,2026-08-03
mathworks-math-modeling-challenge,MathWorks Math Modeling (M3) Challenge,Competition,Quantitative & Modeling,"SIAM (Society for Industrial and Applied Mathematics), sponsored by MathWorks",Tier 1 - Top-tier quantitative credential,Free,14 concentrated hours plus prep,"US high school juniors and seniors (incl. territories and DoDEA), plus sixth form students in England and Wales. Teams of 3-5 with a teacher coach. Max two teams per school. Homeschool/cyber school eligible. Under 18 needs parental consent.",Teams choose any 14-hour window during Challenge weekend to solve an unseen real-world problem and submit a written paper,"A 14-hour intensive applied math modeling sprint. The problem is unknown until teams log in on Challenge weekend, and it is always a genuine open-ended real-world question -- past topics have covered remote work impacts, the digital divide, and extreme heat. Papers are judged by PhD applied mathematicians in three phases, with triage eliminating two-thirds or more. Over $100,000 in scholarship awards annually and nearly 80,000 students served over two decades.","2026 cycle: registration deadline Feb 20, Challenge weekend Feb 27 - Mar 2. Expect similar 2027 dates.","Over $100,000 in scholarships, national media coverage for top teams","Not finance-specific, but modeling and data skills are exactly what quant finance recruits on -- and it is free with real scholarship money. The two-team-per-school cap means you should choose rosters deliberately. Practice on past problems in January.",https://m3challenge.siam.org/,Verified Aug 2026,TRUE,7,8,9,7,6,8,not-started,,2026-08-03
